part_no,model,Link
4G kit-AU,GoodWe 4G Module Excluding Sim Card,https://www.tradezone.com.au/product/goodwe-4g-module-excluding-sim-card-100412.html
6000N-EH Hybrid,GoodWe 6kW Single Phase EH PLUS SERIES Solar Hybrid Activated Inverter IP65,https://www.tradezone.com.au/product/goodwe-6kw-single-phase-eh-plus-series-solar-hybrid-activated-inverter-ip65-89989.html
AFCI,GoodWe Arc Fault Circuit Interrupter,https://www.tradezone.com.au/product/goodwe-arc-fault-circuit-interrupter-85094.html
CT250-6040,GoodWe 250 Amp CT Clamp 5A Secondary Current Transformer Split Core,https://www.tradezone.com.au/product/goodwe-250-amp-ct-clamp-5a-secondary-current-transformer-split-core-90214.html
CT90-30,GoodWe 90 Amp CT Clamps & 30 Metre Cable,https://www.tradezone.com.au/product/goodwe-90-amp-ct-clamps-30-metre-cable-84628.html
CT90-5,GoodWe 90 Amp CT Clamps & 5 Metre Cable,https://www.tradezone.com.au/product/goodwe-90-amp-ct-clamps-5-metre-cable-81169.html
Ezlink3000,GoodWe EzLink Bluetooth Wifi Device,https://www.tradezone.com.au/product/goodwe-ezlink-bluetooth-wifi-device-100833.html
GA10081-69-00P,Goodwe WIFI/LAN KIT 1.0,https://www.tradezone.com.au/product/goodwe-wifi-lan-kit-1-0-84532.html
GM1000,Goodwe Single Phase GM1000 Smart Meter Suits G3 Single Phase Models,https://www.tradezone.com.au/product/goodwe-single-phase-gm1000-smart-meter-suits-g3-single-phase-models-82669.html
GM1000D,Goodwe Single Phase GM1000D Smart Meter For Hybrid inverters,https://www.tradezone.com.au/product/goodwe-single-phase-gm1000d-smart-meter-for-hybrid-inverters-93861.html
GM3000,Goodwe Three Phase GM3000 Smart Meter Includes 3 Current Transformers,https://www.tradezone.com.au/product/goodwe-three-phase-gm3000-smart-meter-includes-3-current-transformers-81915.html
GM330,GoodWe Three Phase Smart Meter for Single C&I Inverter,https://www.tradezone.com.au/product/goodwe-three-phase-smart-meter-for-single-c-i-inverter-98583.html
GW100K-HT,GoodWe 100kW Three Phase High Power String Inverter 10 MPPT IP65,https://www.tradezone.com.au/product/goodwe-100kw-three-phase-high-power-string-inverter-10-mppt-ip65-87024.html
